,Mean,Standard Deviation,Stage Number,Rank,Best Rank
108,51.9375,43.96371906185827,16,7,4
109,58.3125,43.310966783829706,16,8,6
110,65.875,44.18268184481336,16,9,2
111,87.75,27.084358954939287,16,10,5
112,70.0,40.21660104981524,16,11,7
113,60.875,40.539910890380604,16,12,7
114,87.9375,31.914864777247608,16,13,3
115,80.5625,35.25792242532166,16,14,5
116,82.625,36.1971597642688,16,15,3
117,56.9375,39.332665734094356,16,16,10
118,78.25,37.67376408059062,16,17,12
119,54.3125,42.424519369699404,16,18,7
120,71.5625,38.59560977300398,16,19,6
121,100.0,0.0,16,20,100
122,94.3125,22.027592781554684,16,21,9
123,95.625,16.94430213965745,16,22,30
124,100.0,0.0,16,23,100
125,62.0625,39.59240575855425,16,24,9
126,75.8125,29.198070890899626,16,25,10
127,96.0625,15.249871925691703,16,26,37
128,94.25,22.269654240692645,16,27,8
129,44.5,48.947676145042884,16,1,1
130,49.375,46.70636332449787,16,2,1
131,51.125,44.80774905080593,16,3,2
132,51.875,45.05257345590815,16,4,3
133,46.8125,47.01092791841063,16,5,2
134,55.6875,42.26363500398422,16,6,2
135,53.5,42.82230727086059,16,7,4
136,70.75,40.26707712263208,16,8,5
137,81.9375,37.600646187931396,16,9,3
138,48.9375,45.06865422608046,16,10,6
139,76.6875,37.345881215336185,16,11,3
140,88.0625,31.584150989855655,16,12,4
141,75.0625,33.56052135694557,16,13,16
142,87.1875,28.564004336752227,16,14,6
143,61.1875,44.09254294946029,16,15,5
144,93.9375,23.479961536382465,16,16,3
145,88.375,30.76498618559742,16,17,5
146,79.9375,36.46654074285084,16,18,5
147,74.75,35.84776841032089,16,19,6
148,94.0625,22.99583861810654,16,20,5
149,85.0,31.446382939854942,16,21,9
150,69.5,40.86104501845248,16,22,6
151,64.1875,41.72262388381153,16,23,6
152,94.375,21.78553132241672,16,24,10
153,91.3125,24.56297709460317,16,25,6
154,78.5,37.33463539396093,16,26,9
155,84.5,32.32452629196598,16,27,11
156,52.5,42.221143992080556,16,28,8
157,90.8125,24.538792630241613,16,29,17
158,100.0,0.0,16,30,100
159,49.5625,47.12877140081205,16,1,1
160,44.8125,48.67650710301634,16,2,1
161,45.5,48.0741614591456,16,3,1
162,53.125,44.232164484682414,16,4,2
163,57.25,41.86809644586197,16,5,2
164,47.5,46.377526885335314,16,6,3
165,51.5625,44.70174598100168,16,7,4
166,56.5,42.13371571556442,16,8,4
167,52.4375,44.56451608342673,16,9,6
168,96.875,12.103072956898178,16,10,50
169,54.1875,41.45813965616402,16,11,8
170,68.6875,40.19906520990258,16,12,7
171,77.9375,36.337770896823045,16,13,6
172,86.375,31.100391878559986,16,14,6
173,82.875,35.6736509906121,16,15,6
174,72.125,38.14425743149288,16,16,11
